Month,Year,Mic_CredExp,SME_CredExp,Lg_CredExp,NPA_amount,Tot_CredExp_SMLgE,VintDel,PSB_VintDel,Priv_VintDel,NBFC_VintDel,Man_yoyg,Trad_yoyg,PS_yoyg,Oth_yoyg,Man_vol,Man_val,Trad_vol,Trad_val,PS_vol,PS_val,Oth_vol,Oth_val,Mic_BLD,Small_BLD,Med_BLD,Tot_CredExp,CredExp_Class
September,2019,36,59,51,3.066,110,2.1,3.2,0.9,2.8,-2,-3,-6,-6,26,38,37,28,17,18,20,16,4.3,3.7,4.7,146,Low
December,2019,38,61,51,2.4,110,1.6,4.1,1.2,2.95,-5,-5,-7,-10.5,25.25,39,41.25,28.5,16.5,17,17.5,15.25,4.05,3.5,4.7,150,Low
March,2020,36,58,51,4.06,112,2.8,5,1.5,3.1,-8,-7,-8,-15,24.5,40,45.5,29,16,16,15,14.5,3.8,3.3,4.7,145,Low
June,2020,29,53,41,6.765,109,5.5,5.75,2.3,3.9,12,11.5,-7.5,-7.5,23.75,41,49.75,29.5,15.5,15,12.5,13.75,3.45,3.2,4.35,123,Low
September,2020,41,74,69,10.672,94,5.8,6.5,3.1,4.7,32,30,-7,0,23,42,54,30,15,14,10,13,3.1,3.1,4,184,Medium
December,2020,37,65,61,24.45,143,15,15.75,2.55,4.25,29,21.5,-0.5,10.5,24.5,42,50.25,29,15,14.75,12,13.5,3.5,3.15,4,163,Low
March,2021,44,76,69,25.893,126,13.7,25,2,3.8,26,13,6,21,26,42,46.5,28,15,15.5,14,14,3.9,3.2,4,189,Medium
June,2021,20,43,44,9.095,145,8.5,21.7,1.9,3.6,9,-3.5,8,12.5,27.5,42,42.75,27,15,16.25,16,14.5,4.65,3.55,4.05,107,Low
September,2021,40,77,73,17.67,87,9.3,18.4,1.8,3.4,-8,-20,10,4,29,42,39,26,15,17,18,15,5.4,3.9,4.1,190,Medium
December,2021,48,93,90,15.477,150,6.7,15.75,1.5,3.05,15,8,26,22.5,28.75,41.25,38.75,26.25,15.25,17.25,18,15.25,4.7,3.25,3.35,231,High
March,2022,54,98,95,15.067,183,6.1,13.1,1.2,2.7,38,36,42,41,28.5,40.5,38.5,26.5,15.5,17.5,18,15.5,4,2.6,2.6,247,High
June,2022,46,82,71,9.353,193,4.7,10.9,1.4,2.55,37,43.5,50,50,28.25,39.75,38.25,26.75,15.75,17.75,18,15.75,3.9,2.65,2.7,199,Medium
September,2022,58,98,88,10.492,153,4.3,8.7,1.6,2.4,36,51,58,59,28,39,38,27,16,18,18,16,3.8,2.7,2.8,244,High
December,2022,62,101,88,9.789,186,3.9,6.5,1.8,2.25,16.5,32.5,39,36,27.25,38.5,38.25,27.25,16.25,18,18,16.25,3.45,2.4,11.9,251,High
March,2023,74,118,97,10.115,189,3.5,4.3,2,2.1,-3,14,20,13,26.5,38,38.5,27.5,16.5,18,18,16.5,3.1,2.1,21,289,High
June,2023,55,95,73,6.913,215,3.1,2.1,2.2,1.95,-3.5,10,11.5,9.5,25.75,37.5,38.75,27.75,16.75,18,18,16.75,3.1,11.55,11.55,223,Medium
September,2023,62,101,80,6.561,168,2.7,-0.1,2.4,1.8,-4,6,3,6,25,37,39,28,17,18,18,17,3.1,21,2.1,243,High
